Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0772894C,Université Gustave Eiffel,5  BOULEVARD DESCARTES,77454,MARNE LA VALLEE CEDEX 2,1501103J,"SCIENCES, TECHNOLOGIES, SANTÉ",Mathématiques et applications,diplôme,"Formation initiale,Formation continue",1er semestre,Mathématiques,3Z5e6
0781944P,Université de Versailles Saint-Quentin-en-Yvelines,55 avenue de Paris,78035,VERSAILLES CEDEX,1502428Z,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,,1er semestre,,V13Pk
0801344B,Université d'Amiens,CHEMIN DU THIL,80021,AMIENS CEDEX 1,1800001B,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,"Formation initiale,Formation continue",1er semestre,,8j5s2
0860073M,Ecole nationale supérieure de mécanique et d'aérotechnique de Poitiers,1 AVENUE CLEMENT ADER TELEPORT 2,86961,FUTUROSCOPE CEDEX,1801141R,"SCIENCES, TECHNOLOGIES, SANTÉ",Aéronautique et espace,diplôme,Formation initiale,1er semestre,,IlIW8
0860856N,Université de Poitiers,15  RUE DE L'HOTEL DIEU,86034,POITIERS CEDEX,1701511U,"SCIENCES, TECHNOLOGIES, SANTÉ",Staps : management du sport,diplôme,"Formation initiale,Formation continue",1er semestre,,hlX1r
0860856N,Université de Poitiers,15  RUE DE L'HOTEL DIEU,86034,POITIERS CEDEX,1800336R,SCIENCES HUMAINES ET SOCIALES,Musicologie,diplôme,"Formation initiale,Formation continue",1er semestre,,hlX1r
0860856N,Université de Poitiers,15  RUE DE L'HOTEL DIEU,86034,POITIERS CEDEX,1800354K,"DROIT, ECONOMIE, GESTION",Finance,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,hlX1r
0912341A,CENTRALESUPELEC GIF SUR YVETTE,3 RUE JOLIOT CURIE,91192,GIF SUR YVETTE CEDEX,1800385U,"SCIENCES, TECHNOLOGIES, SANTÉ",Physique appliquée et ingénierie physique,diplôme,Formation initiale,3ème semestre,,m84Aa
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,1501829Y,SCIENCES ET TECHNOLOGIES,Design,diplôme,"Formation initiale,Formation continue",1er semestre,,G2qA7
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,1503402H,SCIENCES DE LA VIE ET DE L'ENVIRONNEMENT,"Biodiversité, écologie et évolution",diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,G2qA7
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,2000088W,SCIENCES HUMAINES ET SOCIALES | SCIENCES ET TECHNIQUES DES ACTIVITÉS PHYSIQUES ET SPORTIVES,STAPS : management du sport,diplôme,"Formation initiale,Formation continue",1er semestre,,G2qA7
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1401609N,"DROIT, ECONOMIE, GESTION",Economie du droit,diplôme,"Formation initiale,Formation continue",1er semestre,"Droit,Economie et gestion",g6rwB
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1402396U,"SCIENCES, TECHNOLOGIES, SANTÉ",STAPS : activité physique adaptée et santé,diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1402797E,SCIENCES HUMAINES ET SOCIALES,Histoire,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,g6rwB
0951793H,CY Cergy Paris Université,33 boulevard DU PORT,95011,CERGY PONTOISE CEDEX,1501177P,"ARTS, LETTRES, LANGUES",Etudes européennes et internationales,diplôme,"Formation initiale,Formation continue",1er semestre,,RS4WF
0931238R,Université Paris-XIII,AVENUE JEAN BAPTISTE CLEMENT,93430,VILLETANEUSE,0900835H,"SCIENCES, TECHNOLOGIES, SANTÉ",Biologie-santé,diplôme,Formation initiale,1er semestre,,cqyN7
0931827F,Université Paris-VIII,2 rue de la Liberté,93526,ST DENIS CEDEX,1502637B,SCIENCES HUMAINES ET SOCIALES,Etudes européennes et internationales,diplôme,"Formation initiale,Formation continue",1er semestre,,Uxr7Z
0931827F,Université Paris-VIII,2 rue de la Liberté,93526,ST DENIS CEDEX,1503439Y,SCIENCES HUMAINES ET SOCIALES,"Civilisations, cultures et sociétés",diplôme,"Formation initiale,Formation continue",1er semestre,,Uxr7Z
0941111X,Université Paris-XII,61 avenue du Général de Gaulle,94010,CRETEIL CEDEX,1501430P,"DROIT, ECONOMIE, GESTION",Management et commerce international,diplôme,"Formation initiale,Alternance",1er semestre,,vb71K
9710585J,UNIVERSITE DES ANTILLES,Campus de Fouillole,97157,POINTE A PITRE CEDEX,1801006U,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,diplôme,Formation initiale,1er semestre,,z3hdL
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1801078X,"DROIT, ECONOMIE, GESTION",Finance,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,cqkij
0383493R,Université Grenoble Alpes,621  AVENUE CENTRALE,38040,GRENOBLE CEDEX 9,1603074X,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Droit des collectivités territoriales,diplôme,"Formation initiale,Formation continue",1er semestre,,Y7ch7
0421095M,Université de Saint-Etienne,10  RUE TREFILERIE,42023,ST ETIENNE CEDEX 2,1601508V,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,Formation initiale,1er semestre,,tIJ02
0421095M,Université de Saint-Etienne,10  RUE TREFILERIE,42023,ST ETIENNE CEDEX 2,1603281X,"SCIENCES, TECHNOLOGIES, SANTÉ",Biologie moléculaire et cellulaire,diplôme,Formation initiale,1er semestre,,tIJ02
0440984F,Université de Nantes,1  QUAI DE TOURVILLE,44036,NANTES CEDEX 2,1701227K,"DROIT, ECONOMIE, GESTION",Gestion des ressources humaines,diplôme,"Formation initiale,Formation continue",1er semestre,,7hB8r
0440984F,Université de Nantes,1  QUAI DE TOURVILLE,44036,NANTES CEDEX 2,1703075U,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,"Formation initiale,Formation continue,Formation à distance,Alternance,Hybride",1er semestre,,7hB8r
0450855K,Université d'Orléans,"Château de la Source, avenue du Parc floral",45067,ORLEANS CEDEX 2,1800488F,"DROIT, ECONOMIE, GESTION",Management des systèmes d'information,diplôme,,1er semestre,,HCBvW
0490970N,Université d'Angers,40  RUE DE RENNES,49035,ANGERS CEDEX 01,1703422W,"SCIENCES HUMAINES ET SOCIALES | DROIT, ECONOMIE, GESTION | ARTS, LETTRES, LANGUES",Études sur le genre,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,IXHyv
0511296G,Université de Reims,9  BOULEVARD DE LA PAIX,51097,REIMS CEDEX,1302048V,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,"Formation initiale,Formation continue",1er semestre,,57OsX
0623957P,Université d'Artois,9  RUE DU TEMPLE,62030,ARRAS CEDEX,1501259D,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,Formation initiale,1er semestre,Toutes licences,BWbvP
0632035V,Université Clermont Auvergne,49 BOULEVARD FRANCOIS MITTERRAND,63113,CLERMONT FERRAND CEDEX 2,1702064V,"ARTS, LETTRES, LANGUES",Langues étrangères appliquées,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,FvH4k
0632035V,Université Clermont Auvergne,49 BOULEVARD FRANCOIS MITTERRAND,63113,CLERMONT FERRAND CEDEX 2,1702876C,"SCIENCES, TECHNOLOGIES, SANTÉ | SCIENCES HUMAINES ET SOCIALES",Gestion de l'environnement,diplôme,"Formation initiale,Formation continue",1er semestre,,FvH4k
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG CEDEX,1800635R,SCIENCES POLITIQUES ET SOCIALES,Science politique,diplôme,"Formation initiale,Formation continue",1er semestre,,4k25D
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG CEDEX,1800677M,SCIENCES HUMAINES ET SOCIALES,Sciences de l'éducation,diplôme,"Formation initiale,Formation continue,Formation à distance,Alternance,Apprentissage",1er semestre,,4k25D
0753742K,Ecole des hautes études en sciences sociales,54 boulevard Raspail,75006,PARIS,1900174Q,SCIENCES HUMAINES ET SOCIALES,Sociologie,diplôme,Formation initiale,1er semestre,"Science politique,Sociologie,Sciences sociales",y52D7
0840685N,Université d'Avignon,74  RUE LOUIS PASTEUR,84029,AVIGNON CEDEX 1,1801056Y,SCIENCES HUMAINES ET SOCIALES,Histoire,diplôme,Formation initiale,1er semestre,,vxHYt
0440100V,Ecole centrale de Nantes,1 rue de la Nöe,44321,NANTES CEDEX 3,1701739S,"SCIENCES, TECHNOLOGIES, SANTÉ",Mécanique,diplôme,Formation initiale,1er semestre,,gCAyK
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,1503297U,"SCIENCES, TECHNOLOGIES, SANTÉ",Mathématiques et applications,diplôme,"Formation initiale,Formation continue",1er semestre,"Mathématiques,Mathématiques et informatique appliquées aux sciences humaines et sociales",U8a0v
0632035V,Université Clermont Auvergne,49 boulevard François Mitterrand,63001,CLERMONT FERRAND CEDEX 1,1702310M,"DROIT, ECONOMIE, GESTION","Marketing, vente",dossier,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,K4lR3
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON CEDEX 07,1603269J,"DROIT, ECONOMIE, GESTION",Management stratégique,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,CUBKB
0692437Z,Université Lyon-III,1  RUE DE L'UNIVERSITE,69239,LYON CEDEX 02,1602758D,SCIENCES HUMAINES ET SOCIALES,Histoire,diplôme,Formation initiale,1er semestre,,7Gzub
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,2000095D,"DROIT, ECONOMIE, GESTION","Marketing, vente",diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,G2qA7
0931238R,Université Paris-XIII,AVENUE JEAN BAPTISTE CLEMENT,93430,VILLETANEUSE,1505010W,CULTURE ET COMMUNICATION,Communication des organisations,diplôme,"Formation initiale,Formation continue",1er semestre,,cqyN7
0931827F,Université Paris-VIII,2 rue de la Liberté,93526,ST DENIS CEDEX,2000006G,"DROIT, ECONOMIE, GESTION","Justice, procès et procédures",diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,Droit,Uxr7Z
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,2000147K,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences de la vision,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,G2qA7
0383493R,Université Grenoble Alpes,621 avenue Centrale,38400,ST MARTIN D HERES,1601756P,"DROIT, ECONOMIE, GESTION",Sciences sociales,dossier,"Formation initiale,Formation continue",1er semestre,,Y7ch7
0561718N,Université de Bretagne Sud,27  RUE ARMAND GUILLEMOT,56321,LORIENT CEDEX,1702729T,SCIENCES HUMAINES ET SOCIALES,"Histoire, civilisations, patrimoine",diplôme,"Formation initiale,Formation continue",1er semestre,,5tVy4
0801344B,Université d'Amiens,CHEMIN DU THIL,80021,AMIENS CEDEX 1,1800292T,"SCIENCES, TECHNOLOGIES, SANTÉ",Méthodes informatiques appliquées à la gestion des entreprises - MIAGE,diplôme,"Formation initiale,Formation continue,Formation à distance,Alternance",1er semestre,Informatique,8j5s2
0931238R,Université Paris-XIII,AVENUE JEAN BAPTISTE CLEMENT,93430,VILLETANEUSE,1406212C,"DROIT, ECONOMIE, GESTION",Comptabilité - contrôle - audit,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,cqyN7
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1702528Z,SCIENCES HUMAINES ET SOCIALES,"Civilisations, cultures et sociétés",diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0692437Z,Université Lyon-III,1  RUE DE L'UNIVERSITE,69239,LYON CEDEX 02,1602737F,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,Formation initiale,1er semestre,,7Gzub
0755890V,UNIVERSITE SORBONNE UNIVERSITE,21 RUE DE L'ECOLE DE MEDECINE,75006,PARIS,1900269T,SCIENCES HUMAINES ET SOCIALES,Urbanisme et aménagement,diplôme,"Formation initiale,Formation continue",1er semestre,,bxPQe
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,1501145E,"SCIENCES, TECHNOLOGIES, SANTÉ",Energie,diplôme,Formation initiale,1er semestre,,G2qA7
0383493R,Université Grenoble Alpes,621 avenue Centrale,38400,ST MARTIN D HERES,1603366P,SCIENCES HUMAINES ET SOCIALES,"Géographie, aménagement, environnement et développement",dossier,"Formation initiale,Formation continue",1er semestre,,Y7ch7
0597132G,Université Polytechnique Hauts-de-France,,59300,AULNOY LEZ VALENCIENNES,2000282G,"SCIENCES HUMAINES ET SOCIALES|SCIENCES, TECHNOLOGIES, SANTÉ",Génie civil,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,EW53M
0755890V,UNIVERSITE SORBONNE UNIVERSITE,21 RUE DE L'ECOLE DE MEDECINE,75006,PARIS,1900254B,"SCIENCES, TECHNOLOGIES, SANTÉ","Automatique, robotique",diplôme,"Formation initiale,Formation continue",1er semestre,,bxPQe
0860856N,Université de Poitiers,15  RUE DE L'HOTEL DIEU,86073,POITIERS Cedex 9,1800783B,"ARTS, LETTRES, LANGUES",Langues étrangères appliquées,diplôme,"Formation initiale,Formation continue",1er semestre,,hlX1r
0941111X,Université Paris-XII,61 avenue du Général de Gaulle,94010,CRETEIL CEDEX,2000135X,"DROIT, ECONOMIE, GESTION",Management des organisations de santé,diplôme,"Formation continue,Formation à distance,Alternance,Apprentissage",1er semestre,,vb71K
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY CEDEX,1800193K,"SCIENCES, TECHNOLOGIES, SANTÉ",Ingénierie des systèmes complexes,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,"Informatique,Sciences pour l'ingénieur,Electronique, énergie électrique, automatique",t6Cq5
0931827F,Université Paris-VIII,2 rue de la Liberté,93526,ST DENIS CEDEX,1501643W,"DROIT, ECONOMIE, GESTION",Droit public,diplôme,"Formation initiale,Formation continue",1er semestre,,Uxr7Z
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE CEDEX 07,1800883K,"ARTS, LETTRES, LANGUES|SCIENCES HUMAINES ET SOCIALES",Études européennes et internationales,diplôme,"Formation initiale,Formation continue,Formation à distance,Alternance",1er semestre,,xJdyB
0311384L,Université Toulouse-III,118 route de Narbonne,31062,TOULOUSE CEDEX 9,1603002U,"SCIENCES, TECHNOLOGIES, SANTÉ",Physique fondamentale et applications,dossier,"Formation initiale,Formation continue,Alternance",1er semestre,,m7K6T
0141408E,Université de Caen  Normandie,ESPLANADE DE LA PAIX,14032,CAEN CEDEX 5,1702470L,"DROIT, ECONOMIE, GESTION",Comptabilité - contrôle - audit,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,"Droit,Gestion",p25Q3
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE CEDEX 07,1800848X,"ARTS, LETTRES, LANGUES",Langues étrangères appliquées,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,xJdyB
0342321N,Université de Montpellier,163 rue AUGUSTE BROUSSONET,34000,MONTPELLIER,1501396C,"SCIENCES, TECHNOLOGIES, SANTÉ","Biologie, agrosciences",dossier,"Formation initiale,Formation continue",1er semestre,"Chimie,Physique,Sciences de la vie",evv7S
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY CEDEX,1800387W,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie civil,diplôme,"Formation initiale,Formation continue",1er semestre,"Sciences pour l'ingénieur,Génie civil",t6Cq5
0840685N,Université d'Avignon,74  RUE LOUIS PASTEUR,84029,AVIGNON CEDEX 1,1801117Q,"ARTS, LETTRES, LANGUES",Langues et sociétés,diplôme,Formation initiale,1er semestre,,vxHYt
0211237F,Université de Dijon,Esplanade Erasme,21078,DIJON CEDEX,1702889S,SCIENCES HUMAINES ET SOCIALES,Psychologie,diplôme,"Formation initiale,Formation continue",1er semestre,,Lr94O
0751719L,Université Paris-III,"8, Avenue de Saint-Mandé",75012,PARIS,1900145H,"ARTS, LETTRES, LANGUES|SCIENCES HUMAINES ET SOCIALES",Littérature générale et comparée,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,8k883
0730858L,Université de Chambéry,27 rue Marcoz,73011,CHAMBERY CEDEX,1602782E,"DROIT, ECONOMIE, GESTION",Tourisme,dossier,"Formation initiale,Formation continue",1er semestre,,zCa4j
0342321N,Université de Montpellier,163 rue AUGUSTE BROUSSONET,34000,MONTPELLIER,1502483J,"DROIT, ECONOMIE, GESTION","Marketing, vente",dossier,"Formation initiale,Formation continue",1er semestre,"Gestion,Administration économique et sociale,Economie et gestion",evv7S
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY CEDEX,1800384T,"SCIENCES, TECHNOLOGIES, SANTÉ",Mathématiques et applications,diplôme,"Formation initiale,Formation continue",1er semestre,Mathématiques,t6Cq5
0755976N,Université de Paris,85 boulevard Saint Michel,75006,PARIS,1004534D,"DROIT, ECONOMIE, GESTION",Droit des affaires,diplôme,"Formation initiale,Formation continue",1er semestre,,5cZyU
0597132G,Université Polytechnique Hauts-de-France,,59300,AULNOY LEZ VALENCIENNES,2000273X,"DROIT, ECONOMIE, GESTION",Administration publique,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,"Administration publique,Droit,Histoire,Economie et gestion,Géographie et aménagement,Humanités",EW53M
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1503266K,SCIENCES HUMAINES ET SOCIALES,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0342321N,Université de Montpellier,163 rue AUGUSTE BROUSSONET,34000,MONTPELLIER,1502542Y,"DROIT, ECONOMIE, GESTION",Management,dossier,"Formation initiale,Formation continue",1er semestre,"Droit,Economie,Gestion,Psychologie,Sociologie,Administration économique et sociale",evv7S
0342321N,Université de Montpellier,163 rue AUGUSTE BROUSSONET,34000,MONTPELLIER,1501477R,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,dossier,"Formation initiale,Formation continue",1er semestre,"Chimie,Physique,Physique, chimie",evv7S
0751719L,Université Paris-III,"8, Avenue de Saint-Mandé",75012,PARIS,1900122H,SCIENCES HUMAINES ET SOCIALES,"Information, communication",diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,8k883
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON CEDEX 07,1601028Y,SCIENCES HUMAINES ET SOCIALES,Psychologie : psychopathologie clinique psychanalytique,diplôme,"Formation initiale,Formation continue",1er semestre,,CUBKB
0755890V,UNIVERSITE SORBONNE UNIVERSITE,21 RUE DE L'ECOLE DE MEDECINE,75006,PARIS,1900272W,"ARTS, LETTRES, LANGUES",Musicologie,diplôme,"Formation initiale,Formation continue",1er semestre,,bxPQe
0311384L,Université Toulouse-III,118 route de Narbonne,31062,TOULOUSE CEDEX 9,1602488K,"SCIENCES, TECHNOLOGIES, SANTÉ",Informatique,dossier,"Formation initiale,Formation continue,Alternance",1er semestre,,m7K6T
0311382J,Université Toulouse-I,2  RUE DU DOYEN GABRIEL MARTY,31042,TOULOUSE CEDEX 9,1602418J,"DROIT, ECONOMIE, GESTION",Droit des affaires,dossier,"Formation initiale,Formation à distance,Alternance,Apprentissage",1er semestre,,542Id
