"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation
Public,0860856N,Universite de Poitiers,Nouvelle Aquitaine,Licence   Sciences pour l ingenieur    Acces Sante
Public,0860856N,Universite de Poitiers,Nouvelle Aquitaine,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Anglais    Acces Sante"
Public,0290346U,Universite de Brest,Bretagne,Licence   Portail Droit   Droit parcours general
Public,0291660X,Universite de Brest   Site de Quimper,Bretagne,"Licence   Portail Langues etrangeres appliquees   LEA Anglais, Espagnol"
Public,0141408E,Universite de Caen Normandie,Normandie,Licence   Histoire
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,Licence   Portail Sciences de la vie et de la terre   Biologie
Public,0290346U,Universite de Brest,Bretagne,Licence   Portail Droit   Droit parcours general
Public,0141408E,Universite de Caen Normandie,Normandie,Licence   Sociologie
Public,0134248X,Aix Marseille Universite   Site de Marseille Timone,Provence Alpes Cote d Azur,Licence   Parcours d Acces Specifique Sante (PASS)
Prive sous contrat d association,9730010Y,Externat Saint Joseph de Cluny,Guyane,BTS   Services   Banque
Public,0912415F,Universite Paris Saclay   Campus de Versailles,Ile de France,"Licence   Double diplome   Licence Informatique, Sciences de la vie   Licence Double Diplome Sciences de la Vie, Informatique"
Public,0141408E,Universite de Caen Normandie,Normandie,Licence   Lettres   Parcours Lettres modernes
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,Licence   Portail Histoire
Public,0912417H,"Universite Paris Saclay, Campus d’Evry",Ile de France,"Licence   Double diplome   Licence Droit, Economie   Parcours Licence Double Diplome Droit, Economie"
Public,0840218F,Lycee professionnel agricole Viticole,Provence Alpes Cote d Azur,BTS   Agricole   Viticulture Oenologie
Public,0141408E,Universite de Caen Normandie,Normandie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Anglais"
Public,0141408E,Universite de Caen Normandie,Normandie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Allemand"
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   Anglais"
Public,0141408E,Universite de Caen Normandie,Normandie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Italien"
Prive enseignement superieur,0101059X,SCBS   South Champagne Business School   Troyes (Y SCHOOLS),Grand Est,Formation des ecoles de commerce et de management Bac + 3   Bachelor en Management (BeM)
Public,0222032P,Universite de Rennes (EPE)   Site de Saint Brieuc,Bretagne,Licence   Droit   Parcours Droit (ST BRIEUC)
Public,0912409Z,Ecole Universitaire de premier cycle   Campus d Orsay Universite Paris Saclay,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0350937D,Universite de Rennes 2,Bretagne,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives
Public,0931391G,Universite Sorbonne Paris Nord   Antenne de Bobigny,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0642128R,Universite de Pau et des pays de l Adour   College STEE (Pau),Nouvelle Aquitaine,C.M.I   Cursus Master en Ingenierie   Mathematiques   Mathematiques et Ingenierie
Public,0642128R,Universite de Pau et des pays de l Adour   College STEE (Pau),Nouvelle Aquitaine,"C.M.I   Cursus Master en Ingenierie   Physique, chimie   Geo energies, Environnement et Materiaux"
Public,0642128R,Universite de Pau et des pays de l Adour   College STEE (Pau),Nouvelle Aquitaine,"C.M.I   Cursus Master en Ingenierie   Sciences de la vie   Geo energies, Environnement et Materiaux"
Public,9710585J,Universite des Antilles   Pole Guadeloupe,Guadeloupe,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0141687H,Lycee Jules Verne,Normandie,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux"
Public,0754585B,Ecole nationale superieure de creation industrielle   Les ateliers,Ile de France,Formation des ecoles superieure d art Bac + 5   Designer textile
Public,0141796B,Lycee Salvador Allende,Normandie,BTS   Services   Management Commercial Operationnel
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives   STAPS   Sciences et Techniques des Activites Physiques et Sportives
Prive enseignement superieur,0597140R,Institut de Formation en Ergotherapie de Berck sur Mer   Site de LOOS,Hauts de France,D.E Ergotherapeute
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0881400U,IFSI Epinal,Grand Est,D.E Infirmier
Prive enseignement superieur,0596971G,PIKTURA,Hauts de France,Licence   Arts   Parcours Creation numerique   Concepteur realisateur numerique   Options Animation 2D/Animation 3D FX/Jeux video/Illustration
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Sciences pour la sante   Sciences sociales et Sante    Acces Sante
Public,9720844K,Lycee professionnel Place D Armes,Martinique,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif
Public,0142132S,Lycee Francois Rabelais,Normandie,Mise à niveau   Hotellerie restauration
Prive enseignement superieur,0951819L,ECAM EPMI,Ile de France,Formation d ingenieur Bac + 5   Serie generale
Prive enseignement superieur,0951819L,ECAM EPMI,Ile de France,Formation d ingenieur Bac + 5   Serie STI2D
Public,0590044C,Lycee Joseph Marie Jacquard,Hauts de France,BTS   Production   Conception des processus de realisation de produits (1ere annee commune)
Public,0921204J,Universite Paris Nanterre,Ile de France,"Licence   Double diplome   Licence Humanites   Double diplome Licence mention Humanites [Humanites et sciences humaines]   Diplome d universite (DU) Cultures, langues et rhetorique 1"
Prive enseignement superieur,0101117K,ecole Superieure de Tourisme   Troyes (Y SCHOOLS),Grand Est,Formation des ecoles de commerce et de management Bac + 3   Bachelor Management du Tourisme (BMT)
Prive hors contrat,0312745R,SILVYA TERRADE   ESTHER MARIO,Occitanie,BTS   Services   Metiers de l esthetique cosmetique parfumerie
Public,0150030B,Lycee de Haute Auvergne,Auvergne Rhone Alpes,BTS   Services   Gestion de la PME
Public,0150037J,ENILV   Georges Pompidou,Auvergne Rhone Alpes,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains"
Public,0801344B,Universite d Amiens,Hauts de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0753488J,INALCO,Ile de France,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   parcours Afrique et ocean Indien   Malgache"
Public,0753488J,INALCO,Ile de France,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   parcours Afrique et ocean Indien   Wolof"
Public,0753488J,INALCO,Ile de France,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   parcours Afrique et ocean Indien   Swahili"
Public,0753488J,INALCO,Ile de France,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   Parcours Hebreu moderne"
Public,0150746E,I.U.T Clermont Auvergne   site d Aurillac,Auvergne Rhone Alpes,BUT   Gestion des entreprises et des administrations
Public,0731570K,Universite Savoie Mont Blanc   Bourget du Lac,Auvergne Rhone Alpes,Licence   Portail Geographie et amenagement
Public,0811293R,Institut national universitaire Champollion,Occitanie,Licence   Portail Psychologie
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0160003S,Lycee Marguerite De Valois,Nouvelle Aquitaine,BTS   Services   Commerce International
Prive sous contrat d association,0763409T,Lycee Jean Paul II,Normandie,Annee preparatoire   Classe de mise à niveau pour les preparations aux cursus scientifiques
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0573435Z,I.U.T. Thionville Yutz   Universite de Lorraine,Grand Est,BUT   Hygiene Securite Environnement
Public,0160010Z,Lycee Elie Vinet,Nouvelle Aquitaine,BTS   Services   Gestion de la PME
Prive sous contrat d association,0160079Z,Lycee Sainte Marthe Chavagnes,Nouvelle Aquitaine,BTS   Services   Gestion de la PME
Prive hors contrat,0755931P,INSTA,Ile de France,BTS   Services   Services informatiques aux organisations
Prive sous contrat d association,0160079Z,Lycee Sainte Marthe Chavagnes,Nouvelle Aquitaine,BTS   Services   Comptabilite et gestion
Prive sous contrat d association,0070114L,Lycee professionnel Notre Dame,Auvergne Rhone Alpes,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif
Public,0770918E,Lycee Uruguay France,Ile de France,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif
Public,0600041U,Lycee professionnel Charles De Bovelles,Hauts de France,BTS   Services   Management operationnel de la securite
Public,0601470X,Lycee professionnel Lavoisier,Hauts de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux"
Public,0130058T,Lycee professionnel Estaque (L ),Provence Alpes Cote d Azur,BTS   Services   Management operationnel de la securite
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0161095D,Lycee Image et Son,Nouvelle Aquitaine,BTS   Services   Metiers de l audio visuel opt : metiers du son
Prive sous contrat d association,0141164P,Lycee Sainte Marie,Normandie,CPGE   MPSI
Public,0931391G,Universite Sorbonne Paris Nord   Antenne de Bobigny,Ile de France,Licence   Sciences pour la sante    Acces Sante
Prive enseignement superieur,0340994W,IDELCA Business School,Occitanie,BTS   Services   Management Commercial Operationnel
Prive hors contrat,7200753F,ANTENNE I.F.R.T.S. BASTIA,Corse,D.E Educateur Specialise
Public,0170027M,Lycee Rene Josue Valin,Nouvelle Aquitaine,BTS   Production   Bioanalyses en laboratoire de controle
Public,0170028N,Lycee Jean Dautet,Nouvelle Aquitaine,CPGE   MPSI
Public,9720727H,Lycee Montgerald,Martinique,BTS   Services   Management Commercial Operationnel
Public,0170028N,Lycee Jean Dautet,Nouvelle Aquitaine,BTS   Services   Support à l action manageriale
Public,0170029P,LPO Leonce Vieljeux,Nouvelle Aquitaine,CPGE   TSI
Public,0170058W,Lycee Bellevue,Nouvelle Aquitaine,BTS   Services   Tourisme
Public,0170060Y,Lycee Bernard Palissy,Nouvelle Aquitaine,BTS   Production   Electrotechnique
Public,0170087C,Lycee agricole Georges Desclaude,Nouvelle Aquitaine,BTS   Agricole   Gestion et maitrise de l eau
Public,0170087C,Lycee agricole Georges Desclaude,Nouvelle Aquitaine,BTS   Agricole   Amenagements paysagers
Public,0673021V,Universite de Strasbourg,Grand Est,"C.M.I   Cursus Master en Ingenierie   Sciences pour l ingenieur   Cursus Master Ingenierie : Mecatronique, Energie et Systemes Intelligents"
Public,0931024H,Lycee professionnel Jean Pierre Timbaud,Ile de France,BTS   Services   Metiers des Services à l environnement
Public,0290023T,Lycee Jean Moulin,Bretagne,BTS   Services   Communication
Public,0170145R,I.U.T. La Rochelle,Nouvelle Aquitaine,BUT   Techniques de commercialisation
Public,0921592F,Lycee professionnel Les Cotes De Villebon,Ile de France,BTS   Services   Management Commercial Operationnel
Public,0660437S,Universite de Perpignan Via Domitia,Occitanie,"DEUST   Pratique et gestion des activites physiques, sportives et de loisirs pour les publics seniors"
Public,0171405K,Lycee des Metiers   Hotelier,Nouvelle Aquitaine,BTS   Services   Management en hotellerie restauration
Public,0171418Z,Lycee Saint Exupery,Nouvelle Aquitaine,BTS   Services   Commerce International
Public,0171455P,Lycee Marcel Dassault,Nouvelle Aquitaine,BTS   Production   Conception des processus de realisation de produits (1ere annee commune)
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Licence   Lettres
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Licence   Droit
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Licence   Mathematiques
Public,0134385W,IUT Aix Marseille   Site de Marseille Château Gombert,Provence Alpes Cote d Azur,BUT   Genie civil   Construction durable
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Licence   Genie civil
Prive sous contrat d association,0920928J,Lycee La Salle Passy Buzenval,Ile de France,Formation d ingenieur Bac + 5   Serie generale
Prive enseignement superieur,0831458J,ISEN Mediterranee,Provence Alpes Cote d Azur,Formation Bac + 3
Prive enseignement superieur,0941934S,EFREI Paris,Ile de France,Formation Bac + 3
Public,0762049P,Universite de Rouen Normandie   Campus Pasteur Rouen,Normandie,Licence   Science politique
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Licence   Sciences de la terre
Public,0912411B,Ecole Universitaire de premier cycle   Universite Paris Saclay,Ile de France,"Diplome d Universite   PAREO   DU Rebondir, Reagir, Reussir"
Public,0740276Y,Lycee professionnel agricole de Contamine,Auvergne Rhone Alpes,"BTS   Agricole   Metiers de l elevage: developpement, production et conseil"
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Licence   Geographie et amenagement
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,Licence   Philosophie   Parcours Philosophie et sociologie
Public,0441916U,ecole nationale veterinaire agroalimentaire et de l alimentation de Nantes Atlantique (Oniris)   Campus veterinaire,Pays de la Loire,Formation Bac+6
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,Annee preparatoire   Langues Etrangeres Appliquees (LEA) parcours LEARN (remise à niveau)   Anglais / Espagnol
Public,0931827F,Universite Paris 8,Ile de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Mondes hispaniques"
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Bi disciplinaire Occitan   Catalan"
