"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Public,0300027S,Lycee Hemingway   De La Camargue,Occitanie,Diplome de Comptabilite et de Gestion,"43.8249, 4.35335"
Public,0755890V,Sorbonne universite,Ile de France,Licence   Double diplome   Licence Physique   Parcours monodisciplinaire intensif de physique SPRINT,"48.85083, 2.34123"
Public,0170060Y,Lycee Bernard Palissy,Nouvelle Aquitaine,Certificat de Specialisation   Production et reparation de produits electroniques,"45.7355, -0.61499"
Public,0440100V,ECOLE CENTRALE NANTES,Pays de la Loire,Formation Bac + 3   Bachelor en sciences et ingenierie   ingenierie generaliste,"47.2491, -1.54786"
Public,0951965V,Ecole Nationale Superieure de l Electronique et de ses Applications,Ile de France,Formation Bac + 3   Bachelor en sciences et ingenierie   technologies de l information et societe,"49.0391, 2.07144"
Public,0597239Y,Universite de Lille,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Langues scandinaves   Entierement en distanciel","50.6313, 3.07527"
Prive sous contrat d association,0271049U,Lycee Saint Ouen,Normandie,BTS   Services   Banque,"49.3516, 0.49447"
Public,0761904G,Universite de Rouen Normandie   Campus Mont Saint Aignan,Normandie,Licence   Sociologie   Parcours Prepa IEP Sciencespo,"49.4583, 1.06895"
Prive sous contrat d association,0291808H,Lycee professionnel des metiers St Joseph St Marc,Bretagne,Certificat de Specialisation   Sommellerie,"47.854, -3.85483"
Prive enseignement superieur,0595953A,Etablissement d enseignement superieur technique prive RUBIKA de VALENCIENNES,Hauts de France,Formation des ecoles superieure d art Bac + 5   Realisateur de films d animation,"50.372, 3.52059"
Public,9730429D,Universite de Guyane,Guyane,Licence   Administration economique et sociale,"4.93198, -52.30111"
Public,0597239Y,Universite de Lille,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Portugais   Entierement en distanciel","50.6313, 3.07527"
Public,0595964M,Universite du littoral   Site de Dunkerque,Hauts de France,"Licence   Portail Physique, chimie","51.0392, 2.37202"
Public,0271581X,Lycee Clement Ader,Normandie,BTS   Services   Conseil et commercialisation de solutions techniques,"49.0937, 0.60141"
Prive sous contrat d association,0300112J,Lycee de La CCI,Occitanie,BTS   Services   Communication,"43.8241, 4.37067"
Prive sous contrat d association,0300125Y,Lycee De La Salle,Occitanie,"BTS   Production   Fluide, energie, domotique   option A genie climatique et fluidique","44.1232, 4.08078"
Public,0313083H,Lycee polyvalent Simone de Beauvoir,Occitanie,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","43.6967, 1.57618"
Public,0597239Y,Universite de Lille,Hauts de France,DEUST   Technicien en environnement et dechets,"50.6083, 3.14605"
Public,0951985S,I.U.T de Cergy Pontoise   Site de Sarcelles,Ile de France,BUT   Metiers de la Transition et de l Efficacite energetiques,"48.9752, 2.37659"
Public,0300930Y,I.U.T de Nimes,Occitanie,BUT   Genie civil   Construction durable,"43.8186, 4.33113"
Public,7200118R,Lycee professionnel maritime et aquacole de Bastia,Corse,BTS   Maritime   Pêche et gestion de l environnement marin   reserve aux Mises à Niveau,"42.6929, 9.45279"
Public,0351914R,Lycee professionnel maritime Public,Bretagne,BTS   Maritime   Maintenance des systemes electro navals   reserve aux Mises à Niveau,"48.6556, -1.96925"
Public,9710090W,Lycee professionnel Bertene Juminer,Guadeloupe,BTS   Production   Etude et realisation d agencement,"16.269, -61.6392"
Public,9730429D,Universite de Guyane,Guyane,Licence   Sciences pour l ingenieur,"4.93198, -52.30111"
Public,0142132S,Lycee Francois Rabelais,Normandie,Certificat de Specialisation   Sommellerie,"49.1498, -0.35811"
Prive sous contrat d association,0730774V,Lycee professionnel Sainte Anne,Auvergne Rhone Alpes,BTS   Services   Management operationnel de la securite,"45.599, 5.87735"
Public,0350937D,Universite de Rennes 2,Bretagne,Licence   Lettres   Parcours Francais pour le professorat des ecoles   Entierement en distanciel,"48.12162, -1.70445"
Prive enseignement superieur,0752792C,IPAG Business School   Campus de Paris,Ile de France,Formation des ecoles de commerce et de management Bac + 3   Bachelor of Business Administration,"48.84928, 2.28664"
Public,0510038P,Lycee professionnel Europe,Grand Est,BTS   Services   Metiers des Services à l environnement,"49.2487, 4.06621"
Public,0350937D,Universite de Rennes 2,Bretagne,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Langue, culture et societes   Parcours Franco Allemand   Bi diplomation Universite d Erlangen","48.12162, -1.70445"
Prive sous contrat d association,9710993C,Lycee Bel Air,Guadeloupe,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","16.2405, -61.5831"
Public,0880013L,Lycee professionnel Pierre Mendes France,Grand Est,FCIL   Saveurs et equilibre,"48.1816, 5.89512"
Prive hors contrat,0694324A,Innova Formation,Auvergne Rhone Alpes,BPJEPS   Specialite Educateur sportif   Mention Activites physiques pour tous,"45.7356, 4.93117"
Prive enseignement superieur,0755964A,EGC SUP de V   Paris,Ile de France,"Formation des ecoles de commerce et de management Bac + 3   Bachelor Marketing, Vente et Gestion","48.8424, 2.31754"
Prive sous contrat d association,9710991A,Lycee Les Perseverants,Guadeloupe,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","15.9927, -61.7241"
Prive enseignement superieur,0923028S,ISEN YNCREA OUEST,Ile de France,Formation d ingenieur Bac + 5   Bacs technologiques,"48.75, 2.3"
Prive sous contrat d association,0301433V,Maison familiale rurale horticole Le Grand Mas,Occitanie,"BTS   Agricole   Metiers du Vegetal : Alimentation, Ornement, Environnement","43.9913, 4.40724"
Prive sous contrat d association,0831141P,Lycee la Tourrache,Provence Alpes Cote d Azur,DN MADE   Graphisme   Design numerique/ motion design   DATA design,"43.1502, 6.04481"
Prive sous contrat d association,0831141P,Lycee la Tourrache,Provence Alpes Cote d Azur,DN MADE   Espace   Design d espace/ amenagement d interieur et paysage,"43.1502, 6.04481"
Public,0301654K,Lycee des metiers Genevieve DE GAULLE ANTHONIOZ,Occitanie,BTS   Services   Services et prestations des secteurs sanitaire et social,"43.7864, 4.30966"
Prive enseignement superieur,0694426L,Strate Ecole de design   Lyon,Auvergne Rhone Alpes,Formation des ecoles superieure d art Bac + 5,"45.7389, 4.821"
Public,0301911P,Universite de Nimes,Occitanie,Licence   Droit,"43.8423, 4.35646"
Public,0310088C,Lycee professionnel de l Ameublement,Occitanie,BTS   Production   Developpement et Realisation Bois,"43.4503, 2.01191"
Public,0310036W,Lycee Pierre De Fermat,Occitanie,CPGE   MPSI,"43.6033, 1.43927"
Public,0310036W,Lycee Pierre De Fermat,Occitanie,CPGE   BCPST,"43.6033, 1.43927"
Public,0590060V,Lycee Alfred Kastler,Hauts de France,BTS   Production   Conception des processus de realisation de produits (1ere annee commune),"50.3295, 3.40754"
Public,0891255F,Universite de Bourgogne Europe (ex UB)   Site d Auxerre,Bourgogne Franche Comte,Licence   Parcours d Acces Specifique Sante (PASS),"47.7887, 3.59238"
Public,0891255F,Universite de Bourgogne Europe (ex UB)   Site d Auxerre,Bourgogne Franche Comte,Licence   Parcours d Acces Specifique Sante (PASS),"47.7887, 3.59238"
Public,0310038Y,Lycee BELLEVUE,Occitanie,CPGE   PCSI,"43.5616, 1.46017"
Public,0310038Y,Lycee BELLEVUE,Occitanie,Classe preparatoire aux etudes superieures   Scientifique,"43.5616, 1.46017"
Prive sous contrat d association,0480680D,Lycee polyvalent prive Sacre Coeur,Occitanie,Certificat de Specialisation   Sommellerie,"44.8, 3.27341"
Public,0310040A,Lycee Raymond Naves,Occitanie,BTS   Services   Banque,"43.638, 1.46135"
Prive enseignement superieur,0752792C,IPAG Business School   Campus de Paris,Ile de France,BTS   Services   Management Commercial Operationnel,"48.84928, 2.28664"
Public,0310044E,Lycee Deodat de Severac,Occitanie,CPGE   PTSI,"43.5884, 1.42651"
Public,0310044E,Lycee Deodat de Severac,Occitanie,BTS   Production   Assistance technique d ingenieur,"43.5884, 1.42651"
Public,0310047H,Lycee Ozenne,Occitanie,BTS   Services   Comptabilite et gestion,"43.6099, 1.44234"
Public,0290108K,Lycee polyvalent Dupuy de Lome,Bretagne,"BTS   Production   Finitions, amenagement des batiments: conception et realisation","48.3908, -4.5092"
Prive sous contrat d association,0594278E,lycee E.P.I.D.,Hauts de France,BTS   Production   Conception et realisation en chaudronnerie industrielle,"51.027, 2.37163"
Prive enseignement superieur,0682109Y,IFSI de la Fondation de la maison du Diaconat de Mulhouse,Grand Est,D.E Infirmier,"47.75, 7.33181"
Public,0570140T,ENIM Metz,Grand Est,Formation d ingenieur Bac + 5   Bac general,"49.0926, 6.22677"
Public,0311086M,I.U.T de Toulouse,Occitanie,BUT   Information communication Parcours communication des organisations,"43.5655, 1.45883"
Public,0311092U,Lycee professionnel des Metiers Eugene MONTEL,Occitanie,Certificat de Specialisation   Techn. en energies renouvelables opt. a energie electrique,"43.6103, 1.35157"
Prive enseignement superieur,0651119N,Inkipit   Campus de Tarbes,Occitanie,D.E Educateur Specialise,"43.23333, 0.08333"
Public,0261372A,Universite Grenoble Alpes   Antenne de Valence,Auvergne Rhone Alpes,Licence   Sciences et Techniques des Activites Physiques et Sportives   Parcours Preparatoire au Professorat des Ecoles (PPPE),"44.9173, 4.91557"
Prive sous contrat d association,0311177L,Institut Limayrac,Occitanie,BTS   Services   Services informatiques aux organisations,"43.5928, 1.46888"
Public,9840268U,Lycee des Metiers  Hotelier de Tahiti,,Certificat de Specialisation   Sommellerie,"-17.5732, -149.609"
Prive sous contrat d association,0311177L,Institut Limayrac,Occitanie,BTS   Services   Dietetique et nutrition,"43.5928, 1.46888"
Prive sous contrat d association,0721478R,Lycee Polyvalent prive Saint Joseph La Salle,Pays de la Loire,"BTS   Production   Fluide, energie, domotique   option C domotique et batiment communicants","47.9831, 0.13984"
Public,0370800U,Universite de Tours,Centre,C.M.I   Cursus Master en Ingenierie   Physique   Technologies Quantiques (TechQu),"47.3564, 0.70306"
Prive sous contrat d association,0311186W,ecole superieure Billieres,Occitanie,BTS   Services   Gestion de la PME,"43.6145, 1.44281"
Prive enseignement superieur,0690195M,Institut Catholique de Lyon,Auvergne Rhone Alpes,"Licence   Double diplome   Licence Langues etrangeres appliquees   Parcours Anglais Allemand + DU ""Communication   Traduction""","45.7514, 4.82694"
Public,0910629P,Lycee professionnel Chateau Des Coudraies,Ile de France,Certificat de Specialisation   Sommellerie,"48.6347, 2.4662"
Prive sous contrat d association,0560117Y,Lycee St Paul,Bretagne,BTS   Services   Professions immobilieres,"47.6498, -2.76292"
Prive hors contrat,0251999M,Biomedal,Bourgogne Franche Comte,BPJEPS   Specialite Educateur sportif   Mention Activites de la forme,"47.25, 6.03333"
Public,0311514C,ecole d economie et de sciences sociales quantitatives   Toulouse School of Economics (TSE),Occitanie,Double licence   Economie / Droit   parcours double diplomant en Economie et en Droit,"43.6049, 1.43513"
Prive sous contrat d association,0060674A,Lycee Fenelon,Provence Alpes Cote d Azur,BTS   Services   Commerce International,"43.6566, 6.92369"
Public,0313124C,Universite Toulouse Capitole,Occitanie,Licence   Droit   Parcours Bilingue Droit et monde Hispanique,"43.6063, 1.43672"
Public,0313124C,Universite Toulouse Capitole,Occitanie,Licence   Double diplome   Licence Droit   parcours double diplome international franco allemand (Mannheim   Passau),"43.6063, 1.43672"
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Allemand","43.5784, 1.40266"
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,Licence   Musicologie   Parcours Jazz et culture musicale,"43.5784, 1.40266"
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,Licence   Psychologie,"43.5784, 1.40266"
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,Licence   Sociologie,"43.5784, 1.40266"
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Langue et culture chinoises","43.5784, 1.40266"
Public,0801900F,Lycee De L Authie,Hauts de France,BTS   Services   Services et prestations des secteurs sanitaire et social,"50.1496, 2.35691"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Portail Physique   Physique   L1 Antenne Toulouse,"43.5608, 1.46936"
Public,0771027Y,Lycee Joliot Curie,Ile de France,BTS   Services   Management operationnel de la securite,"48.5191, 2.64791"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Informatique,"43.5608, 1.46936"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Portail Mathematiques,"43.5608, 1.46936"
Prive sous contrat d association,0300028T,Lycee professionnel Cevenol,Occitanie,Certificat de Specialisation   Services numeriques aux organisations,"44.127, 4.07651"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Portail Sciences de la vie,"43.5608, 1.46936"
Public,0311586F,Lycee Toulouse Lautrec,Occitanie,BTS   Services   Management Commercial Operationnel,"43.62634, 1.44174"
Public,0311713U,I.U.T de Blagnac,Occitanie,BUT   Carrieres sociales parcours coordination et gestion des etablissements et services sanitaires et sociaux,"43.6488, 1.37499"
Public,0312267W,Lycee Des Arenes,Occitanie,BTS   Services   Metiers de l audio visuel opt : metiers du son,"43.5922, 1.41776"
Prive sous contrat d association,0312408Z,Lycee Saliege,Occitanie,CPGE   PCSI,"43.6045, 1.49452"
Public,0312759F,Lycee Joseph Gallieni,Occitanie,BTS   Production   Maintenance des vehicules option vehicules de transport routier,"43.573, 1.42441"
Public,0320002D,Lycee Pardailhan,Occitanie,BTS   Services   Management Commercial Operationnel,"43.6547, 0.57491"
Prive sous contrat d association,0320633P,Campus La Salle St Christophe,Occitanie,BTS   Agricole   Gestion et protection de la nature,"43.4104, 0.58228"
Public,9711046K,Lycee Chevalier Saint Georges,Guadeloupe,Certificat de Specialisation   Cybersecurite,"16.2711, -61.5253"
Public,0320691C,I.U.T de Toulouse   Antenne d Auch,Occitanie,BUT   Hygiene Securite Environnement,"43.6469, 0.57713"
Public,0320691C,I.U.T de Toulouse   Antenne d Auch,Occitanie,BUT   Genie biologique parcours sciences de l aliment et biotechnologie,"43.6469, 0.57713"
Public,0442094M,Lycee polyvalent Nicolas Appert,Pays de la Loire,Certificat de Specialisation   Cybersecurite,"47.2509, -1.6068"
Public,0920680P,Lycee professionnel Leonard De Vinci,Ile de France,Certificat de Specialisation   Cybersecurite,"48.7983, 2.30831"
Public,0951104J,Lycee Jean Perrin,Ile de France,Certificat de Specialisation   Production et reparation de produits electroniques,"49.0578, 2.12998"
Public,0330021U,Lycee Montaigne,Nouvelle Aquitaine,CPGE   BCPST,"44.8335, -0.57306"
Prive enseignement superieur,0490075R,ESEO Angers,Pays de la Loire,Formation d ingenieur Bac + 5   Bacs generaux   1 Science,"47.4934, -0.5508"
Prive sous contrat d association,9741255W,Lycee Catholique St Charles,Reunion,Formation d ingenieur Bac + 5   Bacs generaux   1 Science,"-21.3382, 55.4797"
Public,0330023W,Lycee Camille Jullian,Nouvelle Aquitaine,CPGE   Lettres,"44.8446, -0.59018"
Prive enseignement superieur,0590347G,ISEN Lille,Hauts de France,Formation d ingenieur Bac + 5   Bacs generaux   1 Science,"50.6342, 3.04871"
Prive sous contrat d association,0341521U,Lycee St Joseph Pierre Rouge,Occitanie,Formation d ingenieur Bac + 5   Bacs technologiques,"43.6784, 3.87317"
Prive sous contrat d association,0333481E,YNCREA   BeGLES,Nouvelle Aquitaine,Formation d ingenieur Bac + 5   Bacs generaux   1 Science,"44.8, -0.53333"
Prive enseignement superieur,0691501G,Ecole Superieure en Biologie Biochimie Biotechnologies   Institut catholique de Lyon,Auvergne Rhone Alpes,Formation d ingenieur Bac + 5   Bacs technologiques,"45.74657, 4.82646"
Prive enseignement superieur,0691501G,Ecole Superieure en Biologie Biochimie Biotechnologies   Institut catholique de Lyon,Auvergne Rhone Alpes,Formation Bac + 3,"45.74657, 4.82646"
Prive enseignement superieur,0753559L,ISEP Paris,Ile de France,Formation Bac + 3,"48.8456, 2.32814"
Public,0134017W,Aix Marseille Universite   Site d Aix en Provence,Provence Alpes Cote d Azur,Licence   Double diplome   Licence Langues etrangeres appliquees   Double diplome Franco italien en partenariat avec l universite de Milan,"43.51478, 5.44706"
